timestamp,open,high,low,close,volume
1788374100000,687.04,687.12,686.62,686.62,315.576
1788374400000,686.62,687.14,686.27,686.38,224.111
1788374700000,686.37,686.7,686.0,686.68,272.919
1788375000000,686.67,687.14,686.67,687.14,93.11
1788375300000,687.14,687.29,686.85,687.14,188.984
1788375600000,687.15,687.22,686.83,687.03,213.902
1788375900000,687.02,687.48,686.99,687.45,141.584
1788376200000,687.44,687.95,687.31,687.49,519.822
1788376500000,687.5,687.69,686.43,686.74,102.413
1788376800000,686.75,686.95,686.43,686.47,215.327
1788377100000,686.47,686.48,685.65,685.65,226.683
1788377400000,685.66,686.01,685.51,685.64,197.741
1788377700000,685.63,685.75,685.45,685.75,149.521
1788378000000,685.74,686.23,685.74,685.98,175.848
1788378300000,685.98,686.08,685.73,685.89,88.282
1788378600000,685.88,686.3,685.83,685.91,100.409
1788378900000,685.91,686.61,685.62,686.61,198.648
1788379200000,686.61,687.63,686.5,687.57,279.316
1788379500000,687.56,687.98,687.28,687.43,240.18
1788379800000,687.43,687.56,686.91,687.3,153.908
1788380100000,687.3,687.3,686.3,686.72,217.055
1788380400000,686.72,688.0,686.71,687.88,178.609
1788380700000,687.87,687.88,687.11,687.13,48.33
1788381000000,687.13,687.81,687.01,687.81,277.379
1788381300000,687.8,687.99,687.37,687.46,229.329
1788381600000,687.45,687.46,686.69,687.14,178.929
1788381900000,687.14,687.59,686.66,687.34,369.728
1788382200000,687.35,687.93,687.33,687.46,170.99
1788382500000,687.46,687.69,687.38,687.52,182.206
1788382800000,687.52,688.0,687.34,687.79,155.995
1788383100000,687.8,688.06,687.52,687.72,198.363
1788383400000,687.72,687.86,687.67,687.74,38.209
1788383700000,687.74,687.79,687.32,687.53,134.086
1788384000000,687.52,688.06,687.52,688.05,73.316
1788384300000,688.05,688.06,687.56,687.56,138.941
1788384600000,687.55,687.84,687.27,687.32,60.477
1788384900000,687.32,688.0,687.31,687.91,85.77
1788385200000,687.91,688.54,687.83,688.08,481.666
1788385500000,688.07,688.07,687.3,687.42,616.08
1788385800000,687.42,687.64,687.1,687.52,177.347
1788386100000,687.53,687.91,687.11,687.12,200.394
1788386400000,687.12,687.32,686.79,686.79,125.501
1788386700000,686.78,686.78,686.28,686.34,85.108
1788387000000,686.34,686.71,686.05,686.52,108.605
1788387300000,686.52,686.57,686.07,686.07,107.694
1788387600000,686.07,686.08,685.69,685.84,65.305
1788387900000,685.85,685.85,685.45,685.71,94.02
1788388200000,685.71,686.3,685.65,686.3,119.777
1788388500000,686.3,686.68,686.21,686.62,65.683
1788388800000,686.61,686.76,686.56,686.75,51.246
1788389100000,686.75,686.75,686.29,686.44,121.739
1788389400000,686.44,686.48,686.11,686.3,178.24
1788389700000,686.3,686.3,686.18,686.18,14.406
1788390000000,686.19,686.52,685.73,686.52,146.09
1788390300000,686.52,687.52,686.52,687.51,68.505
1788390600000,687.52,687.52,687.34,687.34,59.922
1788390900000,687.35,687.35,686.71,686.74,165.198
1788391200000,686.74,686.85,686.46,686.77,241.884
1788391500000,686.76,687.12,686.69,687.05,48.283
1788391800000,687.06,687.52,687.0,687.09,66.9
1788392100000,687.09,687.09,686.93,687.03,33.987
1788392400000,687.03,687.03,686.82,686.85,59.925
1788392700000,686.84,687.88,686.84,687.88,113.346
1788393000000,687.89,688.4,687.89,688.13,157.539
1788393300000,688.12,688.99,688.12,688.84,429.773
1788393600000,688.82,689.92,688.71,689.34,473.31
1788393900000,689.34,689.51,688.2,688.38,179.084
1788394200000,688.38,688.8,688.07,688.08,170.475
1788394500000,688.08,688.23,687.59,688.12,113.491
1788394800000,688.12,688.44,687.41,688.2,247.85
1788395100000,688.2,688.2,687.57,687.68,76.451
1788395400000,687.68,687.84,686.72,686.72,194.23
1788395700000,686.71,687.68,686.67,687.56,145.7
1788396000000,687.55,687.81,687.43,687.44,84.806
1788396300000,687.45,687.81,687.29,687.59,143.178
1788396600000,687.59,687.93,687.58,687.75,144.948
1788396900000,687.75,688.1,687.3,687.3,356.366
1788397200000,687.29,687.55,686.24,687.3,317.654
1788397500000,687.3,689.19,687.3,688.83,245.466
1788397800000,688.83,689.75,688.6,689.74,218.955
1788398100000,689.73,689.96,689.25,689.35,368.391
1788398400000,689.34,689.99,689.24,689.98,395.277
1788398700000,689.98,691.0,689.73,691.0,1025.49
1788399000000,690.99,691.4,690.59,691.39,550.637
1788399300000,691.39,691.6,690.38,690.93,243.754
1788399600000,690.92,692.07,690.92,690.98,785.587
1788399900000,690.97,690.97,690.4,690.51,170.202
1788400200000,690.51,691.26,690.13,690.68,337.603
1788400500000,690.67,690.87,690.09,690.1,195.086
1788400800000,690.09,690.47,690.01,690.11,181.029
1788401100000,690.1,690.48,689.8,690.07,203.56
1788401400000,690.07,691.4,690.07,691.33,157.959
1788401700000,691.34,691.4,690.94,691.09,103.085
1788402000000,691.09,691.74,691.08,691.46,145.852
1788402300000,691.46,692.07,691.23,692.07,186.224
1788402600000,692.07,693.8,691.9,693.8,578.443
1788402900000,693.8,694.0,692.8,693.34,457.175
1788403200000,693.34,694.14,693.24,693.96,271.71
1788403500000,693.95,694.31,693.5,694.14,266.811
1788403800000,694.14,695.0,693.87,694.89,728.903
1788404100000,694.89,694.94,694.15,694.26,193.899
1788404400000,694.26,694.33,693.45,693.46,209.475
1788404700000,693.46,693.46,692.84,693.11,414.987
1788405000000,693.11,694.08,692.97,693.55,624.388
1788405300000,693.55,693.55,692.26,693.26,650.654
1788405600000,693.26,693.26,692.46,692.62,173.916
1788405900000,692.62,692.73,692.41,692.45,132.454
1788406200000,692.46,692.78,692.31,692.66,158.448
1788406500000,692.65,692.66,692.11,692.11,126.833
1788406800000,692.11,692.2,691.75,691.97,148.186
1788407100000,691.97,692.37,691.81,692.37,123.596
1788407400000,692.37,692.77,692.37,692.67,93.908
1788407700000,692.67,692.68,692.45,692.6,126.19
1788408000000,692.6,693.26,692.6,693.0,116.593
1788408300000,693.01,693.98,692.84,693.96,704.269
1788408600000,693.97,694.28,692.6,692.73,639.019
1788408900000,692.73,692.75,692.01,692.02,151.115
1788409200000,692.02,692.57,691.94,692.49,149.104
1788409500000,692.49,692.65,692.09,692.16,86.585
1788409800000,692.16,692.77,692.15,692.45,141.806
1788410100000,692.45,692.54,692.16,692.46,79.792
1788410400000,692.45,692.46,692.17,692.21,149.099
1788410700000,692.21,692.89,692.21,692.89,125.229
1788411000000,692.89,694.65,692.89,694.61,256.066
1788411300000,694.6,694.73,694.04,694.73,429.893
1788411600000,694.73,694.86,694.03,694.04,181.488
1788411900000,694.04,694.18,693.69,693.73,202.52
1788412200000,693.73,694.02,693.06,693.28,246.223
1788412500000,693.28,693.5,692.6,692.86,239.301
1788412800000,692.86,692.87,690.33,691.13,442.119
1788413100000,691.12,691.13,689.77,690.81,281.604
1788413400000,690.81,691.99,690.6,691.87,175.292
1788413700000,691.87,693.0,691.87,692.89,183.953
1788414000000,692.89,693.51,692.69,693.5,262.744
1788414300000,693.51,694.0,692.94,693.99,331.396
1788414600000,694.0,695.09,693.99,694.8,765.781
1788414900000,694.81,695.48,694.81,695.37,242.98
1788415200000,695.37,695.42,694.84,695.05,330.122
1788415500000,695.04,695.4,694.8,694.83,235.47
1788415800000,694.84,695.54,694.84,695.07,298.368
1788416100000,695.08,696.0,694.91,695.71,345.84
1788416400000,695.71,695.98,695.54,695.84,315.326
1788416700000,695.83,696.82,695.83,696.77,1430.042
1788417000000,696.77,696.77,695.87,696.39,178.08
1788417300000,696.38,697.19,696.15,697.05,331.827
1788417600000,697.05,697.19,696.65,697.19,251.696
1788417900000,697.19,697.55,697.0,697.27,266.186
1788418200000,697.27,697.83,697.12,697.83,266.524
1788418500000,697.82,698.71,697.63,697.75,654.283
1788418800000,697.75,699.25,697.66,699.13,1465.391
1788419100000,699.13,699.45,698.2,698.28,815.614
1788419400000,698.28,699.02,697.76,698.36,299.652
1788419700000,698.36,698.41,697.68,698.35,462.075
1788420000000,698.35,698.5,697.76,697.86,269.599
1788420300000,697.86,698.2,697.14,697.74,403.577
1788420600000,697.73,697.89,696.9,697.84,333.86
1788420900000,697.84,698.16,697.63,698.04,350.566
1788421200000,698.03,699.0,698.03,698.34,682.864
1788421500000,698.34,698.76,697.3,697.33,349.07
1788421800000,697.33,697.6,697.01,697.21,216.824
1788422100000,697.2,698.15,697.0,697.96,313.583
1788422400000,697.96,700.0,697.95,700.0,752.271
1788422700000,700.0,701.68,699.99,700.52,1395.609
1788423000000,700.52,701.76,700.52,701.47,820.696
1788423300000,701.46,701.8,701.3,701.79,418.612
1788423600000,701.79,702.97,701.36,702.77,1799.577
1788423900000,702.78,702.98,701.74,702.93,435.926
1788424200000,702.92,703.25,702.38,702.87,725.103
1788424500000,702.86,702.86,701.94,701.97,396.7
1788424800000,701.96,702.25,701.15,701.72,610.071
1788425100000,701.73,702.0,700.85,700.99,364.543
1788425400000,700.99,701.54,700.89,701.31,376.365
1788425700000,701.31,701.6,701.14,701.26,211.736
1788426000000,701.27,701.55,700.92,701.46,378.581
1788426300000,701.46,702.52,701.22,702.37,492.901
1788426600000,702.36,702.44,701.5,701.86,506.44
1788426900000,701.86,703.06,701.84,702.23,475.608
1788427200000,702.23,702.84,702.07,702.51,273.44
1788427500000,702.51,702.8,701.6,701.61,310.348
1788427800000,701.61,701.9,701.14,701.51,343.741
1788428100000,701.51,701.51,700.86,701.01,349.065
1788428400000,701.01,701.71,700.43,701.66,333.68
1788428700000,701.66,702.89,701.3,701.38,315.65
1788429000000,701.38,702.0,701.05,701.28,290.435
1788429300000,701.28,701.28,700.78,700.79,112.218
1788429600000,700.78,702.0,700.51,701.89,437.483
1788429900000,701.89,702.69,701.65,702.62,1069.586
1788430200000,702.61,702.61,700.81,701.62,949.557
1788430500000,701.63,703.39,701.22,703.38,900.495
